0,English,Hindi,English_Tokens,Hindi_Tokens,Alignment_Flag
Do you speak English? - क्या आप अंग्रेज़ी बोलते हैं?,Do you speak English? , क्या आप अंग्रेज़ी बोलते हैं?,"['▁Do', '▁you', '▁speak', '▁English', '?']","['▁क्या', '▁आप', '▁अंग्रेज़ी', '▁बोलते', '▁हैं', '?']",False
I want to visit a temple. - मुझे एक मंदिर जाना है।,I want to visit a temple. , मुझे एक मंदिर जाना है।,"['▁I', '▁want', '▁to', '▁visit', '▁a', '▁temple', '.']","['▁मुझे', '▁एक', '▁मंदिर', '▁जाना', '▁है', '।']",False
Let's go now - चलो अब चलें,Let's go now , चलो अब चलें,"['▁Let', ""'"", 's', '▁go', '▁now']","['▁चलो', '▁अब', '▁चलें']",False
I am interested in photography. - मुझे फोटोग्राफी में रुचि है।,I am interested in photography. , मुझे फोटोग्राफी में रुचि है।,"['▁I', '▁am', '▁interested', '▁in', '▁photography', '.']","['▁मुझे', '▁फोटोग्राफी', '▁में', '▁रुचि', '▁है', '।']",False
Can I borrow your phone charger? - क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?,Can I borrow your phone charger? , क्या मैं आपका फोन चार्जर उधार ले सकता हूँ?,"['▁Can', '▁I', '▁borrow', '▁your', '▁phone', '▁charger', '?']","['▁क्या', '▁मैं', '▁आपका', '▁फोन', '▁चार्जर', '▁उधार', '▁ले', '▁सकता', '▁हूँ', '?']",False
I feel great - मुझे बहुत अच्छा महसूस हो रहा है,I feel great , मुझे बहुत अच्छा महसूस हो रहा है,"['▁I', '▁feel', '▁great']","['▁मुझे', '▁बहुत', '▁अच्छा', '▁महसूस', '▁हो', '▁रहा', '▁है']",False
I have a question - मेरे पास एक सवाल है,I have a question , मेरे पास एक सवाल है,"['▁I', '▁have', '▁a', '▁question']","['▁मेरे', '▁पास', '▁एक', '▁सवाल', '▁है']",False
Where can I buy medicine? - मैं दवा कहाँ खरीद सकता हूँ?,Where can I buy medicine? , मैं दवा कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁medicine', '?']","['▁मैं', '▁दवा', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
What is the time now? - अब क्या समय हुआ है?,What is the time now? , अब क्या समय हुआ है?,"['▁What', '▁is', '▁the', '▁time', '▁now', '?']","['▁अब', '▁क्या', '▁समय', '▁हुआ', '▁है', '?']",False
I am happy - मैं खुश हूं,I am happy , मैं खुश हूं,"['▁I', '▁am', '▁happy']","['▁मैं', '▁खुश', '▁हूं']",False
Where is the nearest restaurant? - सबसे नज़दीकी रेस्टोरेंट कहाँ है?,Where is the nearest restaurant? , सबसे नज़दीकी रेस्टोरेंट कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁restaurant', '?']","['▁सबसे', '▁नज़दीकी', '▁रेस्टोरेंट', '▁कहाँ', '▁है', '?']",False
This is a beautiful painting. - यह एक सुंदर पेंटिंग है।,This is a beautiful painting. , यह एक सुंदर पेंटिंग है।,"['▁This', '▁is', '▁a', '▁beautiful', '▁painting', '.']","['▁यह', '▁एक', '▁सुंदर', '▁पेंटिंग', '▁है', '।']",False
Can I pay by card? - क्या मैं कार्ड से भुगतान कर सकता हूँ?,Can I pay by card? , क्या मैं कार्ड से भुगतान कर सकता हूँ?,"['▁Can', '▁I', '▁pay', '▁by', '▁card', '?']","['▁क्या', '▁मैं', '▁कार्ड', '▁से', '▁भुगतान', '▁कर', '▁सकता', '▁हूँ', '?']",False
Can you speak Hindi? - क्या आप हिंदी बोल सकते हैं?,Can you speak Hindi? , क्या आप हिंदी बोल सकते हैं?,"['▁Can', '▁you', '▁speak', '▁Hindi', '?']","['▁क्या', '▁आप', '▁हिंदी', '▁बोल', '▁सकते', '▁हैं', '?']",False
Come with me - मेरे साथ आइए,Come with me , मेरे साथ आइए,"['▁Come', '▁with', '▁me']","['▁मेरे', '▁साथ', '▁आइए']",False
This place is beautiful - यह जगह बहुत सुंदर है,This place is beautiful , यह जगह बहुत सुंदर है,"['▁This', '▁place', '▁is', '▁beautiful']","['▁यह', '▁जगह', '▁बहुत', '▁सुंदर', '▁है']",False
It’s too cold outside. - बाहर बहुत ठंड है।,It’s too cold outside. , बाहर बहुत ठंड है।,"['▁It', '’', 's', '▁too', '▁cold', '▁outside', '.']","['▁बाहर', '▁बहुत', '▁ठंड', '▁है', '।']",False
My name is Rahul - मेरा नाम राहुल है,My name is Rahul , मेरा नाम राहुल है,"['▁My', '▁name', '▁is', '▁', 'R', 'ahul']","['▁मेरा', '▁नाम', '▁राहुल', '▁है']",False
I’m planning to travel next year. - मैं अगले साल यात्रा करने की योजना बना रहा हूँ।,I’m planning to travel next year. , मैं अगले साल यात्रा करने की योजना बना रहा हूँ।,"['▁I', '’', 'm', '▁planning', '▁to', '▁travel', '▁next', '▁year', '.']","['▁मैं', '▁अगले', '▁साल', '▁यात्रा', '▁करने', '▁की', '▁योजना', '▁बना', '▁रहा', '▁हूँ', '।']",False
Please wait a moment - कृपया एक क्षण इंतजार करें,Please wait a moment , कृपया एक क्षण इंतजार करें,"['▁Please', '▁wait', '▁a', '▁moment']","['▁कृपया', '▁एक', '▁क्षण', '▁इंतजार', '▁करें']",False
I like reading books - मुझे किताबें पढ़ना पसंद है,I like reading books , मुझे किताबें पढ़ना पसंद है,"['▁I', '▁like', '▁reading', '▁books']","['▁मुझे', '▁किताबें', '▁पढ़ना', '▁पसंद', '▁है']",False
I want to buy some souvenirs. - मुझे कुछ स्मृति चिन्ह खरीदने हैं।,I want to buy some souvenirs. , मुझे कुछ स्मृति चिन्ह खरीदने हैं।,"['▁I', '▁want', '▁to', '▁buy', '▁some', '▁souvenirs', '.']","['▁मुझे', '▁कुछ', '▁स्मृति', '▁चिन्ह', '▁खरीदने', '▁हैं', '।']",False
I prefer coffee - मुझे कॉफी पसंद है,I prefer coffee , मुझे कॉफी पसंद है,"['▁I', '▁prefer', '▁coffee']","['▁मुझे', '▁कॉफी', '▁पसंद', '▁है']",False
I love this song - मुझे यह गाना बहुत पसंद है,I love this song , मुझे यह गाना बहुत पसंद है,"['▁I', '▁love', '▁this', '▁song']","['▁मुझे', '▁यह', '▁गाना', '▁बहुत', '▁पसंद', '▁है']",False
May I use your phone? - क्या मैं आपका फ़ोन इस्तेमाल कर सकता हूँ?,May I use your phone? , क्या मैं आपका फ़ोन इस्तेमाल कर सकता हूँ?,"['▁May', '▁I', '▁use', '▁your', '▁phone', '?']","['▁क्या', '▁मैं', '▁आपका', '▁फ़ोन', '▁इस्तेमाल', '▁कर', '▁सकता', '▁हूँ', '?']",False
How long have you been here? - आप यहाँ कितने समय से हैं?,How long have you been here? , आप यहाँ कितने समय से हैं?,"['▁How', '▁long', '▁have', '▁you', '▁been', '▁here', '?']","['▁आप', '▁यहाँ', '▁कितने', '▁समय', '▁से', '▁हैं', '?']",False
This is too expensive for me - यह मेरे लिए बहुत महंगा है,This is too expensive for me , यह मेरे लिए बहुत महंगा है,"['▁This', '▁is', '▁too', '▁expensive', '▁for', '▁me']","['▁यह', '▁मेरे', '▁लिए', '▁बहुत', '▁महंगा', '▁है']",False
I am feeling better - मुझे अब बेहतर महसूस हो रहा है,I am feeling better , मुझे अब बेहतर महसूस हो रहा है,"['▁I', '▁am', '▁feeling', '▁better']","['▁मुझे', '▁अब', '▁बेहतर', '▁महसूस', '▁हो', '▁रहा', '▁है']",False
Turn left - बाएँ मुड़िए,Turn left , बाएँ मुड़िए,"['▁Turn', '▁left']","['▁बाएँ', '▁मुड़िए']",False
I’m going to the supermarket. - मैं सुपरमार्केट जा रहा हूँ।,I’m going to the supermarket. , मैं सुपरमार्केट जा रहा हूँ।,"['▁I', '’', 'm', '▁going', '▁to', '▁the', '▁supermarket', '.']","['▁मैं', '▁सुपरमार्केट', '▁जा', '▁रहा', '▁हूँ', '।']",False
Where is the bathroom? - बाथरूम कहाँ है?,Where is the bathroom? , बाथरूम कहाँ है?,"['▁Where', '▁is', '▁the', '▁bathroom', '?']","['▁बाथरूम', '▁कहाँ', '▁है', '?']",False
Please help me - कृपया मेरी मदद करें,Please help me , कृपया मेरी मदद करें,"['▁Please', '▁help', '▁me']","['▁कृपया', '▁मेरी', '▁मदद', '▁करें']",False
Where are you from? - आप कहां से हैं?,Where are you from? , आप कहां से हैं?,"['▁Where', '▁are', '▁you', '▁from', '?']","['▁आप', '▁कहां', '▁से', '▁हैं', '?']",False
This is my favorite place - यह मेरी पसंदीदा जगह है,This is my favorite place , यह मेरी पसंदीदा जगह है,"['▁This', '▁is', '▁my', '▁favorite', '▁place']","['▁यह', '▁मेरी', '▁पसंदीदा', '▁जगह', '▁है']",False
Can I have some water? - क्या मुझे थोड़ा पानी मिल सकता है?,Can I have some water? , क्या मुझे थोड़ा पानी मिल सकता है?,"['▁Can', '▁I', '▁have', '▁some', '▁water', '?']","['▁क्या', '▁मुझे', '▁थोड़ा', '▁पानी', '▁मिल', '▁सकता', '▁है', '?']",False
I’ll be there in 10 minutes. - मैं 10 मिनट में वहाँ पहुँच रहा हूँ।,I’ll be there in 10 minutes. , मैं 10 मिनट में वहाँ पहुँच रहा हूँ।,"['▁I', '’', 'll', '▁be', '▁there', '▁in', '▁10', '▁minutes', '.']","['▁मैं', '▁10', '▁मिनट', '▁में', '▁वहाँ', '▁पहुँच', '▁रहा', '▁हूँ', '।']",False
I don’t have time - मेरे पास समय नहीं है,I don’t have time , मेरे पास समय नहीं है,"['▁I', '▁don', '’', 't', '▁have', '▁time']","['▁मेरे', '▁पास', '▁समय', '▁नहीं', '▁है']",False
I am thirsty - मुझे प्यास लगी है,I am thirsty , मुझे प्यास लगी है,"['▁I', '▁am', '▁thirsty']","['▁मुझे', '▁प्यास', '▁लगी', '▁है']",False
This is my phone number - यह मेरा फोन नंबर है,This is my phone number , यह मेरा फोन नंबर है,"['▁This', '▁is', '▁my', '▁phone', '▁number']","['▁यह', '▁मेरा', '▁फोन', '▁नंबर', '▁है']",False
Speak loudly - ज़ोर से बोलिए,Speak loudly , ज़ोर से बोलिए,"['▁Speak', '▁loudly']","['▁ज़ोर', '▁से', '▁बोलिए']",False
"Can I have the bill, please? - क्या मुझे बिल मिल सकता है?","Can I have the bill, please? ", क्या मुझे बिल मिल सकता है?,"['▁Can', '▁I', '▁have', '▁the', '▁bill', ',', '▁please', '?']","['▁क्या', '▁मुझे', '▁बिल', '▁मिल', '▁सकता', '▁है', '?']",False
Don't forget your passport - अपना पासपोर्ट भूलना मत,Don't forget your passport , अपना पासपोर्ट भूलना मत,"['▁Don', ""'"", 't', '▁forget', '▁your', '▁passport']","['▁अपना', '▁पासपोर्ट', '▁भूलना', '▁मत']",False
I don't like this - मुझे यह पसंद नहीं है,I don't like this , मुझे यह पसंद नहीं है,"['▁I', '▁don', ""'"", 't', '▁like', '▁this']","['▁मुझे', '▁यह', '▁पसंद', '▁नहीं', '▁है']",False
I am feeling hot - मुझे गर्मी लग रही है,I am feeling hot , मुझे गर्मी लग रही है,"['▁I', '▁am', '▁feeling', '▁hot']","['▁मुझे', '▁गर्मी', '▁लग', '▁रही', '▁है']",False
Let's celebrate - चलो जश्न मनाते हैं,Let's celebrate , चलो जश्न मनाते हैं,"['▁Let', ""'"", 's', '▁celebrate']","['▁चलो', '▁जश्न', '▁मनाते', '▁हैं']",False
Don't be late - देर मत कीजिए,Don't be late , देर मत कीजिए,"['▁Don', ""'"", 't', '▁be', '▁late']","['▁देर', '▁मत', '▁कीजिए']",False
How are you? - आप कैसे हैं?,How are you? , आप कैसे हैं?,"['▁How', '▁are', '▁you', '?']","['▁आप', '▁कैसे', '▁हैं', '?']",False
I need to buy groceries. - मुझे किराने का सामान खरीदना है।,I need to buy groceries. , मुझे किराने का सामान खरीदना है।,"['▁I', '▁need', '▁to', '▁buy', '▁groceries', '.']","['▁मुझे', '▁किराने', '▁का', '▁सामान', '▁खरीदना', '▁है', '।']",False
Can you speak slower? - क्या आप धीमा बोल सकते हैं?,Can you speak slower? , क्या आप धीमा बोल सकते हैं?,"['▁Can', '▁you', '▁speak', '▁slower', '?']","['▁क्या', '▁आप', '▁धीमा', '▁बोल', '▁सकते', '▁हैं', '?']",False
I am fine - मैं ठीक हूं,I am fine , मैं ठीक हूं,"['▁I', '▁am', '▁fine']","['▁मैं', '▁ठीक', '▁हूं']",False
Good morning - सुप्रभात,Good morning , सुप्रभात,"['▁Good', '▁morning']",['▁सुप्रभात'],False
Where can I buy a SIM card? - मैं सिम कार्ड कहाँ खरीद सकता हूँ?,Where can I buy a SIM card? , मैं सिम कार्ड कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁a', '▁SIM', '▁card', '?']","['▁मैं', '▁सिम', '▁कार्ड', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
Move forward - आगे बढ़िए,Move forward , आगे बढ़िए,"['▁Move', '▁forward']","['▁आगे', '▁बढ़िए']",False
I am here on vacation - मैं यहाँ छुट्टी पर हूँ,I am here on vacation , मैं यहाँ छुट्टी पर हूँ,"['▁I', '▁am', '▁here', '▁on', '▁vacation']","['▁मैं', '▁यहाँ', '▁छुट्टी', '▁पर', '▁हूँ']",False
It's very hot today - आज बहुत गर्मी है,It's very hot today , आज बहुत गर्मी है,"['▁It', ""'"", 's', '▁very', '▁hot', '▁today']","['▁आज', '▁बहुत', '▁गर्मी', '▁है']",False
I want to join the gym. - मैं जिम जॉइन करना चाहता हूँ।,I want to join the gym. , मैं जिम जॉइन करना चाहता हूँ।,"['▁I', '▁want', '▁to', '▁join', '▁the', '▁gym', '.']","['▁मैं', '▁जिम', '▁जॉइन', '▁करना', '▁चाहता', '▁हूँ', '।']",False
I need to buy a new pair of shoes. - मुझे एक नया जोड़ा जूते खरीदना है।,I need to buy a new pair of shoes. , मुझे एक नया जोड़ा जूते खरीदना है।,"['▁I', '▁need', '▁to', '▁buy', '▁a', '▁new', '▁pair', '▁of', '▁shoes', '.']","['▁मुझे', '▁एक', '▁नया', '▁जोड़ा', '▁जूते', '▁खरीदना', '▁है', '।']",False
This is very confusing. - यह बहुत उलझन में डालने वाला है।,This is very confusing. , यह बहुत उलझन में डालने वाला है।,"['▁This', '▁is', '▁very', '▁confusing', '.']","['▁यह', '▁बहुत', '▁उलझन', '▁में', '▁डालने', '▁वाला', '▁है', '।']",False
Where is the tourist center? - टूरिस्ट सेंटर कहाँ है?,Where is the tourist center? , टूरिस्ट सेंटर कहाँ है?,"['▁Where', '▁is', '▁the', '▁tourist', '▁center', '?']","['▁टूरिस्ट', '▁सेंटर', '▁कहाँ', '▁है', '?']",False
I don't have money - मेरे पास पैसे नहीं हैं,I don't have money , मेरे पास पैसे नहीं हैं,"['▁I', '▁don', ""'"", 't', '▁have', '▁money']","['▁मेरे', '▁पास', '▁पैसे', '▁नहीं', '▁हैं']",False
I need a charger - मुझे चार्जर चाहिए,I need a charger , मुझे चार्जर चाहिए,"['▁I', '▁need', '▁a', '▁charger']","['▁मुझे', '▁चार्जर', '▁चाहिए']",False
I would like some tea - मुझे चाय चाहिए,I would like some tea , मुझे चाय चाहिए,"['▁I', '▁would', '▁like', '▁some', '▁tea']","['▁मुझे', '▁चाय', '▁चाहिए']",False
I don't eat meat - मैं मांस नहीं खाता हूँ,I don't eat meat , मैं मांस नहीं खाता हूँ,"['▁I', '▁don', ""'"", 't', '▁eat', '▁meat']","['▁मैं', '▁मांस', '▁नहीं', '▁खाता', '▁हूँ']",False
Please write it down - कृपया इसे लिख दीजिए,Please write it down , कृपया इसे लिख दीजिए,"['▁Please', '▁write', '▁it', '▁down']","['▁कृपया', '▁इसे', '▁लिख', '▁दीजिए']",False
Can I sit here? - क्या मैं यहाँ बैठ सकता हूँ?,Can I sit here? , क्या मैं यहाँ बैठ सकता हूँ?,"['▁Can', '▁I', '▁sit', '▁here', '?']","['▁क्या', '▁मैं', '▁यहाँ', '▁बैठ', '▁सकता', '▁हूँ', '?']",False
I’ll see you later. - मैं आपको बाद में मिलूंगा।,I’ll see you later. , मैं आपको बाद में मिलूंगा।,"['▁I', '’', 'll', '▁see', '▁you', '▁later', '.']","['▁मैं', '▁आपको', '▁बाद', '▁में', '▁मिलूंगा', '।']",False
Please sit down - कृपया बैठिए,Please sit down , कृपया बैठिए,"['▁Please', '▁sit', '▁down']","['▁कृपया', '▁बैठिए']",False
I need a new pair of glasses. - मुझे नए चश्मे की ज़रूरत है।,I need a new pair of glasses. , मुझे नए चश्मे की ज़रूरत है।,"['▁I', '▁need', '▁a', '▁new', '▁pair', '▁of', '▁glasses', '.']","['▁मुझे', '▁नए', '▁चश्मे', '▁की', '▁ज़रूरत', '▁है', '।']",False
Hurry up - जल्दी कीजिए,Hurry up , जल्दी कीजिए,"['▁Hurry', '▁up']","['▁जल्दी', '▁कीजिए']",False
How old are you? - आप कितने साल के हैं?,How old are you? , आप कितने साल के हैं?,"['▁How', '▁old', '▁are', '▁you', '?']","['▁आप', '▁कितने', '▁साल', '▁के', '▁हैं', '?']",False
I am going to the gym. - मैं जिम जा रहा हूँ।,I am going to the gym. , मैं जिम जा रहा हूँ।,"['▁I', '▁am', '▁going', '▁to', '▁the', '▁gym', '.']","['▁मैं', '▁जिम', '▁जा', '▁रहा', '▁हूँ', '।']",False
I need to pay the bills. - मुझे बिल का भुगतान करना है।,I need to pay the bills. , मुझे बिल का भुगतान करना है।,"['▁I', '▁need', '▁to', '▁pay', '▁the', '▁bills', '.']","['▁मुझे', '▁बिल', '▁का', '▁भुगतान', '▁करना', '▁है', '।']",False
I want to learn to play the guitar. - मैं गिटार बजाना सीखना चाहता हूँ।,I want to learn to play the guitar. , मैं गिटार बजाना सीखना चाहता हूँ।,"['▁I', '▁want', '▁to', '▁learn', '▁to', '▁play', '▁the', '▁guitar', '.']","['▁मैं', '▁गिटार', '▁बजाना', '▁सीखना', '▁चाहता', '▁हूँ', '।']",False
I can’t find my keys - मुझे अपनी चाबी नहीं मिल रही है,I can’t find my keys , मुझे अपनी चाबी नहीं मिल रही है,"['▁I', '▁can', '’', 't', '▁find', '▁my', '▁keys']","['▁मुझे', '▁अपनी', '▁चाबी', '▁नहीं', '▁मिल', '▁रही', '▁है']",False
What time is it? - कितने बजे हैं?,What time is it? , कितने बजे हैं?,"['▁What', '▁time', '▁is', '▁it', '?']","['▁कितने', '▁बजे', '▁हैं', '?']",False
What is the price? - कीमत क्या है?,What is the price? , कीमत क्या है?,"['▁What', '▁is', '▁the', '▁price', '?']","['▁कीमत', '▁क्या', '▁है', '?']",False
Where is the nearest airport? - सबसे नज़दीकी एयरपोर्ट कहाँ है?,Where is the nearest airport? , सबसे नज़दीकी एयरपोर्ट कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁airport', '?']","['▁सबसे', '▁नज़दीकी', '▁एयरपोर्ट', '▁कहाँ', '▁है', '?']",False
I am looking for a good deal. - मैं एक अच्छा सौदा ढूंढ रहा हूँ।,I am looking for a good deal. , मैं एक अच्छा सौदा ढूंढ रहा हूँ।,"['▁I', '▁am', '▁looking', '▁for', '▁a', '▁good', '▁deal', '.']","['▁मैं', '▁एक', '▁अच्छा', '▁सौदा', '▁ढूंढ', '▁रहा', '▁हूँ', '।']",False
Can you recommend a good movie? - क्या आप एक अच्छी फिल्म सुझा सकते हैं?,Can you recommend a good movie? , क्या आप एक अच्छी फिल्म सुझा सकते हैं?,"['▁Can', '▁you', '▁recommend', '▁a', '▁good', '▁movie', '?']","['▁क्या', '▁आप', '▁एक', '▁अच्छी', '▁फिल्म', '▁सुझा', '▁सकते', '▁हैं', '?']",False
Go straight - सीधे जाइए,Go straight , सीधे जाइए,"['▁Go', '▁straight']","['▁सीधे', '▁जाइए']",False
Nothing happened - कुछ नहीं हुआ,Nothing happened , कुछ नहीं हुआ,"['▁', 'N', 'othing', '▁happened']","['▁कुछ', '▁नहीं', '▁हुआ']",False
I like to read before bed. - मुझे सोने से पहले पढ़ना पसंद है।,I like to read before bed. , मुझे सोने से पहले पढ़ना पसंद है।,"['▁I', '▁like', '▁to', '▁read', '▁before', '▁bed', '.']","['▁मुझे', '▁सोने', '▁से', '▁पहले', '▁पढ़ना', '▁पसंद', '▁है', '।']",False
I like to eat chocolate. - मुझे चॉकलेट खाना पसंद है।,I like to eat chocolate. , मुझे चॉकलेट खाना पसंद है।,"['▁I', '▁like', '▁to', '▁eat', '▁chocolate', '.']","['▁मुझे', '▁चॉकलेट', '▁खाना', '▁पसंद', '▁है', '।']",False
I don't understand - मैं नहीं समझा,I don't understand , मैं नहीं समझा,"['▁I', '▁don', ""'"", 't', '▁understand']","['▁मैं', '▁नहीं', '▁समझा']",False
I need to buy some clothes - मुझे कुछ कपड़े खरीदने हैं,I need to buy some clothes , मुझे कुछ कपड़े खरीदने हैं,"['▁I', '▁need', '▁to', '▁buy', '▁some', '▁clothes']","['▁मुझे', '▁कुछ', '▁कपड़े', '▁खरीदने', '▁हैं']",False
I need a new phone case. - मुझे नया फोन केस चाहिए।,I need a new phone case. , मुझे नया फोन केस चाहिए।,"['▁I', '▁need', '▁a', '▁new', '▁phone', '▁case', '.']","['▁मुझे', '▁नया', '▁फोन', '▁केस', '▁चाहिए', '।']",False
Let's go to the park - चलो पार्क चलें,Let's go to the park , चलो पार्क चलें,"['▁Let', ""'"", 's', '▁go', '▁to', '▁the', '▁park']","['▁चलो', '▁पार्क', '▁चलें']",False
I am learning English - मैं अंग्रेज़ी सीख रहा हूँ,I am learning English , मैं अंग्रेज़ी सीख रहा हूँ,"['▁I', '▁am', '▁learning', '▁English']","['▁मैं', '▁अंग्रेज़ी', '▁सीख', '▁रहा', '▁हूँ']",False
Come here - यहाँ आइए,Come here , यहाँ आइए,"['▁Come', '▁here']","['▁यहाँ', '▁आइए']",False
I am learning to drive. - मैं गाड़ी चलाना सीख रहा हूँ।,I am learning to drive. , मैं गाड़ी चलाना सीख रहा हूँ।,"['▁I', '▁am', '▁learning', '▁to', '▁drive', '.']","['▁मैं', '▁गाड़ी', '▁चलाना', '▁सीख', '▁रहा', '▁हूँ', '।']",False
Let's meet tomorrow - चलो कल मिलते हैं,Let's meet tomorrow , चलो कल मिलते हैं,"['▁Let', ""'"", 's', '▁meet', '▁tomorrow']","['▁चलो', '▁कल', '▁मिलते', '▁हैं']",False
Please don't touch this - कृपया इसे मत छूएं,Please don't touch this , कृपया इसे मत छूएं,"['▁Please', '▁don', ""'"", 't', '▁touch', '▁this']","['▁कृपया', '▁इसे', '▁मत', '▁छूएं']",False
What is your favorite color? - आपका पसंदीदा रंग कौन सा है?,What is your favorite color? , आपका पसंदीदा रंग कौन सा है?,"['▁What', '▁is', '▁your', '▁favorite', '▁color', '?']","['▁आपका', '▁पसंदीदा', '▁रंग', '▁कौन', '▁सा', '▁है', '?']",False
Can I make a reservation? - क्या मैं आरक्षण करवा सकता हूँ?,Can I make a reservation? , क्या मैं आरक्षण करवा सकता हूँ?,"['▁Can', '▁I', '▁make', '▁a', '▁reservation', '?']","['▁क्या', '▁मैं', '▁आरक्षण', '▁करवा', '▁सकता', '▁हूँ', '?']",False
Where can I park my car? - मैं अपनी गाड़ी कहाँ पार्क कर सकता हूँ?,Where can I park my car? , मैं अपनी गाड़ी कहाँ पार्क कर सकता हूँ?,"['▁Where', '▁can', '▁I', '▁park', '▁my', '▁car', '?']","['▁मैं', '▁अपनी', '▁गाड़ी', '▁कहाँ', '▁पार्क', '▁कर', '▁सकता', '▁हूँ', '?']",False
Can you help me with this? - क्या आप मेरी मदद कर सकते हैं?,Can you help me with this? , क्या आप मेरी मदद कर सकते हैं?,"['▁Can', '▁you', '▁help', '▁me', '▁with', '▁this', '?']","['▁क्या', '▁आप', '▁मेरी', '▁मदद', '▁कर', '▁सकते', '▁हैं', '?']",False
Where is the nearest train station? - सबसे नज़दीकी ट्रेन स्टेशन कहाँ है?,Where is the nearest train station? , सबसे नज़दीकी ट्रेन स्टेशन कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁train', '▁station', '?']","['▁सबसे', '▁नज़दीकी', '▁ट्रेन', '▁स्टेशन', '▁कहाँ', '▁है', '?']",False
The food smells delicious. - खाने की खुशबू बहुत स्वादिष्ट है।,The food smells delicious. , खाने की खुशबू बहुत स्वादिष्ट है।,"['▁The', '▁food', '▁smells', '▁delicious', '.']","['▁खाने', '▁की', '▁खुशबू', '▁बहुत', '▁स्वादिष्ट', '▁है', '।']",False
I need to get to the train station. - मुझे ट्रेन स्टेशन जाना है।,I need to get to the train station. , मुझे ट्रेन स्टेशन जाना है।,"['▁I', '▁need', '▁to', '▁get', '▁to', '▁the', '▁train', '▁station', '.']","['▁मुझे', '▁ट्रेन', '▁स्टेशन', '▁जाना', '▁है', '।']",False
I am looking for a book - मैं एक किताब ढूंढ रहा हूँ,I am looking for a book , मैं एक किताब ढूंढ रहा हूँ,"['▁I', '▁am', '▁looking', '▁for', '▁a', '▁book']","['▁मैं', '▁एक', '▁किताब', '▁ढूंढ', '▁रहा', '▁हूँ']",False
I am feeling sick - मैं बीमार महसूस कर रहा हूँ,I am feeling sick , मैं बीमार महसूस कर रहा हूँ,"['▁I', '▁am', '▁feeling', '▁sick']","['▁मैं', '▁बीमार', '▁महसूस', '▁कर', '▁रहा', '▁हूँ']",False
Be careful - सावधान रहिए,Be careful , सावधान रहिए,"['▁Be', '▁careful']","['▁सावधान', '▁रहिए']",False
Please give me a discount - कृपया मुझे छूट दें,Please give me a discount , कृपया मुझे छूट दें,"['▁Please', '▁give', '▁me', '▁a', '▁discount']","['▁कृपया', '▁मुझे', '▁छूट', '▁दें']",False
I need a vacation. - मुझे छुट्टी की ज़रूरत है।,I need a vacation. , मुझे छुट्टी की ज़रूरत है।,"['▁I', '▁need', '▁a', '▁vacation', '.']","['▁मुझे', '▁छुट्टी', '▁की', '▁ज़रूरत', '▁है', '।']",False
I need an umbrella - मुझे छाता चाहिए,I need an umbrella , मुझे छाता चाहिए,"['▁I', '▁need', '▁an', '▁umbrella']","['▁मुझे', '▁छाता', '▁चाहिए']",False
