0,English,Hindi,English_Tokens,Hindi_Tokens,Alignment_Flag
I am feeling tired - मैं थका हुआ महसूस कर रहा हूँ,I am feeling tired , मैं थका हुआ महसूस कर रहा हूँ,"['▁I', '▁am', '▁feeling', '▁tired']","['▁मैं', '▁थका', '▁हुआ', '▁महसूस', '▁कर', '▁रहा', '▁हूँ']",False
Can you explain that again? - क्या आप फिर से समझा सकते हैं?,Can you explain that again? , क्या आप फिर से समझा सकते हैं?,"['▁Can', '▁you', '▁explain', '▁that', '▁again', '?']","['▁क्या', '▁आप', '▁फिर', '▁से', '▁समझा', '▁सकते', '▁हैं', '?']",False
Where can I buy this? - मैं इसे कहाँ खरीद सकता हूँ?,Where can I buy this? , मैं इसे कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁this', '?']","['▁मैं', '▁इसे', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
Where is the nearest bank? - सबसे नज़दीकी बैंक कहाँ है?,Where is the nearest bank? , सबसे नज़दीकी बैंक कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁bank', '?']","['▁सबसे', '▁नज़दीकी', '▁बैंक', '▁कहाँ', '▁है', '?']",False
Where can I buy clothes? - मैं कपड़े कहाँ खरीद सकता हूँ?,Where can I buy clothes? , मैं कपड़े कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁clothes', '?']","['▁मैं', '▁कपड़े', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
I’m not sure if I can make it. - मुझे यकीन नहीं है कि मैं कर पाऊँगा।,I’m not sure if I can make it. , मुझे यकीन नहीं है कि मैं कर पाऊँगा।,"['▁I', '’', 'm', '▁not', '▁sure', '▁if', '▁I', '▁can', '▁make', '▁it', '.']","['▁मुझे', '▁यकीन', '▁नहीं', '▁है', '▁कि', '▁मैं', '▁कर', '▁पा', 'ऊ', 'ँगा', '।']",False
Speak slowly - धीरे बोलिए,Speak slowly , धीरे बोलिए,"['▁Speak', '▁slowly']","['▁धीरे', '▁बोलिए']",False
I am going to the office - मैं ऑफिस जा रहा हूँ,I am going to the office , मैं ऑफिस जा रहा हूँ,"['▁I', '▁am', '▁going', '▁to', '▁the', '▁office']","['▁मैं', '▁ऑफिस', '▁जा', '▁रहा', '▁हूँ']",False
Where can I find a taxi? - मुझे टैक्सी कहाँ मिलेगी?,Where can I find a taxi? , मुझे टैक्सी कहाँ मिलेगी?,"['▁Where', '▁can', '▁I', '▁find', '▁a', '▁taxi', '?']","['▁मुझे', '▁टैक्सी', '▁कहाँ', '▁मिलेगी', '?']",False
Where is my baggage? - मेरा सामान कहाँ है?,Where is my baggage? , मेरा सामान कहाँ है?,"['▁Where', '▁is', '▁my', '▁baggage', '?']","['▁मेरा', '▁सामान', '▁कहाँ', '▁है', '?']",False
How do I get there? - मैं वहाँ कैसे पहुँच सकता हूँ?,How do I get there? , मैं वहाँ कैसे पहुँच सकता हूँ?,"['▁How', '▁do', '▁I', '▁get', '▁there', '?']","['▁मैं', '▁वहाँ', '▁कैसे', '▁पहुँच', '▁सकता', '▁हूँ', '?']",False
It’s very foggy today. - आज बहुत धुंआ है।,It’s very foggy today. , आज बहुत धुंआ है।,"['▁It', '’', 's', '▁very', '▁foggy', '▁today', '.']","['▁आज', '▁बहुत', '▁धुंआ', '▁है', '।']",False
Can I get some coffee? - क्या मुझे कुछ कॉफी मिल सकती है?,Can I get some coffee? , क्या मुझे कुछ कॉफी मिल सकती है?,"['▁Can', '▁I', '▁get', '▁some', '▁coffee', '?']","['▁क्या', '▁मुझे', '▁कुछ', '▁कॉफी', '▁मिल', '▁सकती', '▁है', '?']",False
It's raining - बारिश हो रही है,It's raining , बारिश हो रही है,"['▁It', ""'"", 's', '▁raining']","['▁बारिश', '▁हो', '▁रही', '▁है']",False
I am late - मैं देर से आ रहा हूँ,I am late , मैं देर से आ रहा हूँ,"['▁I', '▁am', '▁late']","['▁मैं', '▁देर', '▁से', '▁आ', '▁रहा', '▁हूँ']",False
This city is very crowded. - यह शहर बहुत भीड़-भाड़ वाला है।,This city is very crowded. , यह शहर बहुत भीड़-भाड़ वाला है।,"['▁This', '▁city', '▁is', '▁very', '▁crowded', '.']","['▁यह', '▁शहर', '▁बहुत', '▁भीड़', '-', 'भाड़', '▁वाला', '▁है', '।']",False
I’m going to the library. - मैं पुस्तकालय जा रहा हूँ।,I’m going to the library. , मैं पुस्तकालय जा रहा हूँ।,"['▁I', '’', 'm', '▁going', '▁to', '▁the', '▁library', '.']","['▁मैं', '▁पुस्तकालय', '▁जा', '▁रहा', '▁हूँ', '।']",False
Please smile - कृपया मुस्कुराइए,Please smile , कृपया मुस्कुराइए,"['▁Please', '▁smile']","['▁कृपया', '▁मुस्कुराइए']",False
I have to finish this work. - मुझे यह काम खत्म करना है।,I have to finish this work. , मुझे यह काम खत्म करना है।,"['▁I', '▁have', '▁to', '▁finish', '▁this', '▁work', '.']","['▁मुझे', '▁यह', '▁काम', '▁खत्म', '▁करना', '▁है', '।']",False
Do you have a map? - क्या आपके पास नक्शा है?,Do you have a map? , क्या आपके पास नक्शा है?,"['▁Do', '▁you', '▁have', '▁a', '▁map', '?']","['▁क्या', '▁आपके', '▁पास', '▁नक्शा', '▁है', '?']",False
I need a doctor - मुझे डॉक्टर की ज़रूरत है,I need a doctor , मुझे डॉक्टर की ज़रूरत है,"['▁I', '▁need', '▁a', '▁doctor']","['▁मुझे', '▁डॉक्टर', '▁की', '▁ज़रूरत', '▁है']",False
It’s very noisy here - यहाँ बहुत शोर है,It’s very noisy here , यहाँ बहुत शोर है,"['▁It', '’', 's', '▁very', '▁noisy', '▁here']","['▁यहाँ', '▁बहुत', '▁शोर', '▁है']",False
I am running late. - मैं देर से आ रहा हूँ।,I am running late. , मैं देर से आ रहा हूँ।,"['▁I', '▁am', '▁running', '▁late', '.']","['▁मैं', '▁देर', '▁से', '▁आ', '▁रहा', '▁हूँ', '।']",False
I am looking for a gift - मैं एक उपहार ढूंढ रहा हूँ,I am looking for a gift , मैं एक उपहार ढूंढ रहा हूँ,"['▁I', '▁am', '▁looking', '▁for', '▁a', '▁gift']","['▁मैं', '▁एक', '▁उपहार', '▁ढूंढ', '▁रहा', '▁हूँ']",False
I am sorry - मुझे खेद है,I am sorry , मुझे खेद है,"['▁I', '▁am', '▁sorry']","['▁मुझे', '▁खेद', '▁है']",False
Can you help me? - क्या आप मेरी मदद कर सकते हैं?,Can you help me? , क्या आप मेरी मदद कर सकते हैं?,"['▁Can', '▁you', '▁help', '▁me', '?']","['▁क्या', '▁आप', '▁मेरी', '▁मदद', '▁कर', '▁सकते', '▁हैं', '?']",False
Where is the nearest metro station? - सबसे नज़दीकी मेट्रो स्टेशन कहाँ है?,Where is the nearest metro station? , सबसे नज़दीकी मेट्रो स्टेशन कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁metro', '▁station', '?']","['▁सबसे', '▁नज़दीकी', '▁मेट्रो', '▁स्टेशन', '▁कहाँ', '▁है', '?']",False
I like to travel during the holidays. - मुझे छुट्टियों में यात्रा करना पसंद है।,I like to travel during the holidays. , मुझे छुट्टियों में यात्रा करना पसंद है।,"['▁I', '▁like', '▁to', '▁travel', '▁during', '▁the', '▁holidays', '.']","['▁मुझे', '▁छुट्टियों', '▁में', '▁यात्रा', '▁करना', '▁पसंद', '▁है', '।']",False
I need a guide - मुझे एक गाइड चाहिए,I need a guide , मुझे एक गाइड चाहिए,"['▁I', '▁need', '▁a', '▁guide']","['▁मुझे', '▁एक', '▁गाइड', '▁चाहिए']",False
I am waiting for someone - मैं किसी का इंतजार कर रहा हूं,I am waiting for someone , मैं किसी का इंतजार कर रहा हूं,"['▁I', '▁am', '▁waiting', '▁for', '▁someone']","['▁मैं', '▁किसी', '▁का', '▁इंतजार', '▁कर', '▁रहा', '▁हूं']",False
I want to try something new. - मैं कुछ नया ट्राई करना चाहता हूँ।,I want to try something new. , मैं कुछ नया ट्राई करना चाहता हूँ।,"['▁I', '▁want', '▁to', '▁try', '▁something', '▁new', '.']","['▁मैं', '▁कुछ', '▁नया', '▁ट्राई', '▁करना', '▁चाहता', '▁हूँ', '।']",False
Stop here - यहाँ रुकिए,Stop here , यहाँ रुकिए,"['▁Stop', '▁here']","['▁यहाँ', '▁रुकिए']",False
Wait a moment - एक क्षण रुकिए,Wait a moment , एक क्षण रुकिए,"['▁Wait', '▁a', '▁moment']","['▁एक', '▁क्षण', '▁रुकिए']",False
Where can I buy a SIM card? - मैं सिम कार्ड कहाँ खरीद सकता हूँ?,Where can I buy a SIM card? , मैं सिम कार्ड कहाँ खरीद सकता हूँ?,"['▁Where', '▁can', '▁I', '▁buy', '▁a', '▁SIM', '▁card', '?']","['▁मैं', '▁सिम', '▁कार्ड', '▁कहाँ', '▁खरीद', '▁सकता', '▁हूँ', '?']",False
I need a ticket - मुझे टिकट चाहिए,I need a ticket , मुझे टिकट चाहिए,"['▁I', '▁need', '▁a', '▁ticket']","['▁मुझे', '▁टिकट', '▁चाहिए']",False
What are you doing? - आप क्या कर रहे हैं?,What are you doing? , आप क्या कर रहे हैं?,"['▁What', '▁are', '▁you', '▁doing', '?']","['▁आप', '▁क्या', '▁कर', '▁रहे', '▁हैं', '?']",False
I am busy right now - मैं अभी व्यस्त हूँ,I am busy right now , मैं अभी व्यस्त हूँ,"['▁I', '▁am', '▁busy', '▁right', '▁now']","['▁मैं', '▁अभी', '▁व्यस्त', '▁हूँ']",False
Go there - वहाँ जाइए,Go there , वहाँ जाइए,"['▁Go', '▁there']","['▁वहाँ', '▁जाइए']",False
How far is the hospital from here? - यहाँ से अस्पताल कितनी दूर है?,How far is the hospital from here? , यहाँ से अस्पताल कितनी दूर है?,"['▁How', '▁far', '▁is', '▁the', '▁hospital', '▁from', '▁here', '?']","['▁यहाँ', '▁से', '▁अस्पताल', '▁कितनी', '▁दूर', '▁है', '?']",False
Can you take me to the airport? - क्या आप मुझे एयरपोर्ट छोड़ सकते हैं?,Can you take me to the airport? , क्या आप मुझे एयरपोर्ट छोड़ सकते हैं?,"['▁Can', '▁you', '▁take', '▁me', '▁to', '▁the', '▁airport', '?']","['▁क्या', '▁आप', '▁मुझे', '▁एयरपोर्ट', '▁छोड़', '▁सकते', '▁हैं', '?']",False
I don’t have any plans this weekend. - इस सप्ताहांत के लिए मेरी कोई योजनाएँ नहीं हैं।,I don’t have any plans this weekend. , इस सप्ताहांत के लिए मेरी कोई योजनाएँ नहीं हैं।,"['▁I', '▁don', '’', 't', '▁have', '▁any', '▁plans', '▁this', '▁weekend', '.']","['▁इस', '▁सप्ताहांत', '▁के', '▁लिए', '▁मेरी', '▁कोई', '▁योजनाएँ', '▁नहीं', '▁हैं', '।']",False
Can you take a photo of me? - क्या आप मेरी फोटो खींच सकते हैं?,Can you take a photo of me? , क्या आप मेरी फोटो खींच सकते हैं?,"['▁Can', '▁you', '▁take', '▁a', '▁photo', '▁of', '▁me', '?']","['▁क्या', '▁आप', '▁मेरी', '▁फोटो', '▁खींच', '▁सकते', '▁हैं', '?']",False
Can you show me the way? - क्या आप मुझे रास्ता दिखा सकते हैं?,Can you show me the way? , क्या आप मुझे रास्ता दिखा सकते हैं?,"['▁Can', '▁you', '▁show', '▁me', '▁the', '▁way', '?']","['▁क्या', '▁आप', '▁मुझे', '▁रास्ता', '▁दिखा', '▁सकते', '▁हैं', '?']",False
Where can I find food? - मुझे खाना कहाँ मिलेगा?,Where can I find food? , मुझे खाना कहाँ मिलेगा?,"['▁Where', '▁can', '▁I', '▁find', '▁food', '?']","['▁मुझे', '▁खाना', '▁कहाँ', '▁मिलेगा', '?']",False
Listen to me - मेरी बात सुनो,Listen to me , मेरी बात सुनो,"['▁Listen', '▁to', '▁me']","['▁मेरी', '▁बात', '▁सुनो']",False
Where are you going? - आप कहाँ जा रहे हैं?,Where are you going? , आप कहाँ जा रहे हैं?,"['▁Where', '▁are', '▁you', '▁going', '?']","['▁आप', '▁कहाँ', '▁जा', '▁रहे', '▁हैं', '?']",False
Can I get a coffee to go? - क्या मुझे कॉफी लेकर जा सकता हूँ?,Can I get a coffee to go? , क्या मुझे कॉफी लेकर जा सकता हूँ?,"['▁Can', '▁I', '▁get', '▁a', '▁coffee', '▁to', '▁go', '?']","['▁क्या', '▁मुझे', '▁कॉफी', '▁लेकर', '▁जा', '▁सकता', '▁हूँ', '?']",False
What happened? - क्या हुआ?,What happened? , क्या हुआ?,"['▁What', '▁happened', '?']","['▁क्या', '▁हुआ', '?']",False
I enjoy reading - मुझे पढ़ना पसंद है,I enjoy reading , मुझे पढ़ना पसंद है,"['▁I', '▁enjoy', '▁reading']","['▁मुझे', '▁पढ़ना', '▁पसंद', '▁है']",False
I am learning Hindi - मैं हिंदी सीख रहा हूं,I am learning Hindi , मैं हिंदी सीख रहा हूं,"['▁I', '▁am', '▁learning', '▁Hindi']","['▁मैं', '▁हिंदी', '▁सीख', '▁रहा', '▁हूं']",False
Be quiet - चुप रहिए,Be quiet , चुप रहिए,"['▁Be', '▁quiet']","['▁चुप', '▁रहिए']",False
I am vegetarian - मैं शाकाहारी हूँ,I am vegetarian , मैं शाकाहारी हूँ,"['▁I', '▁am', '▁vegetarian']","['▁मैं', '▁शाकाहारी', '▁हूँ']",False
I love watching movies. - मुझे फिल्में देखना बहुत पसंद है।,I love watching movies. , मुझे फिल्में देखना बहुत पसंद है।,"['▁I', '▁love', '▁watching', '▁movies', '.']","['▁मुझे', '▁फिल्में', '▁देखना', '▁बहुत', '▁पसंद', '▁है', '।']",False
It's too expensive - यह बहुत महंगा है,It's too expensive , यह बहुत महंगा है,"['▁It', ""'"", 's', '▁too', '▁expensive']","['▁यह', '▁बहुत', '▁महंगा', '▁है']",False
I want to buy a gift for my friend. - मुझे अपने दोस्त के लिए एक तोहफा खरीदना है।,I want to buy a gift for my friend. , मुझे अपने दोस्त के लिए एक तोहफा खरीदना है।,"['▁I', '▁want', '▁to', '▁buy', '▁a', '▁gift', '▁for', '▁my', '▁friend', '.']","['▁मुझे', '▁अपने', '▁दोस्त', '▁के', '▁लिए', '▁एक', '▁तोहफा', '▁खरीदना', '▁है', '।']",False
I have a stomach ache - मुझे पेट में दर्द हो रहा है,I have a stomach ache , मुझे पेट में दर्द हो रहा है,"['▁I', '▁have', '▁a', '▁stomach', '▁ache']","['▁मुझे', '▁पेट', '▁में', '▁दर्द', '▁हो', '▁रहा', '▁है']",False
Can you recommend a good restaurant? - क्या आप एक अच्छा रेस्टोरेंट सुझा सकते हैं?,Can you recommend a good restaurant? , क्या आप एक अच्छा रेस्टोरेंट सुझा सकते हैं?,"['▁Can', '▁you', '▁recommend', '▁a', '▁good', '▁restaurant', '?']","['▁क्या', '▁आप', '▁एक', '▁अच्छा', '▁रेस्टोरेंट', '▁सुझा', '▁सकते', '▁हैं', '?']",False
Where is the nearest pharmacy? - सबसे नज़दीकी दवाई की दुकान कहाँ है?,Where is the nearest pharmacy? , सबसे नज़दीकी दवाई की दुकान कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁pharmacy', '?']","['▁सबसे', '▁नज़दीकी', '▁दवाई', '▁की', '▁दुकान', '▁कहाँ', '▁है', '?']",False
Can I help you? - क्या मैं आपकी मदद कर सकता हूं?,Can I help you? , क्या मैं आपकी मदद कर सकता हूं?,"['▁Can', '▁I', '▁help', '▁you', '?']","['▁क्या', '▁मैं', '▁आपकी', '▁मदद', '▁कर', '▁सकता', '▁हूं', '?']",False
This book is very interesting. - यह किताब बहुत दिलचस्प है।,This book is very interesting. , यह किताब बहुत दिलचस्प है।,"['▁This', '▁book', '▁is', '▁very', '▁interesting', '.']","['▁यह', '▁किताब', '▁बहुत', '▁दिलचस्प', '▁है', '।']",False
Can I use your bathroom? - क्या मैं आपका बाथरूम इस्तेमाल कर सकता हूँ?,Can I use your bathroom? , क्या मैं आपका बाथरूम इस्तेमाल कर सकता हूँ?,"['▁Can', '▁I', '▁use', '▁your', '▁bathroom', '?']","['▁क्या', '▁मैं', '▁आपका', '▁बाथरूम', '▁इस्तेमाल', '▁कर', '▁सकता', '▁हूँ', '?']",False
It’s too hot to go outside. - बाहर जाने के लिए बहुत गर्मी है।,It’s too hot to go outside. , बाहर जाने के लिए बहुत गर्मी है।,"['▁It', '’', 's', '▁too', '▁hot', '▁to', '▁go', '▁outside', '.']","['▁बाहर', '▁जाने', '▁के', '▁लिए', '▁बहुत', '▁गर्मी', '▁है', '।']",False
Turn right - दाएँ मुड़िए,Turn right , दाएँ मुड़िए,"['▁Turn', '▁right']","['▁दाएँ', '▁मुड़िए']",False
I’m going to visit my parents. - मैं अपने माता-पिता से मिलने जा रहा हूँ।,I’m going to visit my parents. , मैं अपने माता-पिता से मिलने जा रहा हूँ।,"['▁I', '’', 'm', '▁going', '▁to', '▁visit', '▁my', '▁parents', '.']","['▁मैं', '▁अपने', '▁माता', '-', 'पिता', '▁से', '▁मिलने', '▁जा', '▁रहा', '▁हूँ', '।']",False
Do you have any plans for today? - क्या आपके पास आज के लिए कोई योजनाएँ हैं?,Do you have any plans for today? , क्या आपके पास आज के लिए कोई योजनाएँ हैं?,"['▁Do', '▁you', '▁have', '▁any', '▁plans', '▁for', '▁today', '?']","['▁क्या', '▁आपके', '▁पास', '▁आज', '▁के', '▁लिए', '▁कोई', '▁योजनाएँ', '▁हैं', '?']",False
My phone battery is dying. - मेरे फोन की बैटरी खत्म हो रही है।,My phone battery is dying. , मेरे फोन की बैटरी खत्म हो रही है।,"['▁My', '▁phone', '▁battery', '▁is', '▁dying', '.']","['▁मेरे', '▁फोन', '▁की', '▁बैटरी', '▁खत्म', '▁हो', '▁रही', '▁है', '।']",False
I am just looking - मैं बस देख रहा हूँ,I am just looking , मैं बस देख रहा हूँ,"['▁I', '▁am', '▁just', '▁looking']","['▁मैं', '▁बस', '▁देख', '▁रहा', '▁हूँ']",False
I need a haircut. - मुझे बाल कटवाने हैं।,I need a haircut. , मुझे बाल कटवाने हैं।,"['▁I', '▁need', '▁a', '▁haircut', '.']","['▁मुझे', '▁बाल', '▁कटवाने', '▁हैं', '।']",False
What is the temperature today? - आज का तापमान कितना है?,What is the temperature today? , आज का तापमान कितना है?,"['▁What', '▁is', '▁the', '▁temperature', '▁today', '?']","['▁आज', '▁का', '▁तापमान', '▁कितना', '▁है', '?']",False
I am leaving now - मैं अब जा रहा हूँ,I am leaving now , मैं अब जा रहा हूँ,"['▁I', '▁am', '▁leaving', '▁now']","['▁मैं', '▁अब', '▁जा', '▁रहा', '▁हूँ']",False
Where is the library? - पुस्तकालय कहाँ है?,Where is the library? , पुस्तकालय कहाँ है?,"['▁Where', '▁is', '▁the', '▁library', '?']","['▁पुस्तकालय', '▁कहाँ', '▁है', '?']",False
I need a nap - मुझे झपकी लेनी है,I need a nap , मुझे झपकी लेनी है,"['▁I', '▁need', '▁a', '▁nap']","['▁मुझे', '▁झपकी', '▁लेनी', '▁है']",False
Let's go shopping - चलो खरीदारी करने चलें,Let's go shopping , चलो खरीदारी करने चलें,"['▁Let', ""'"", 's', '▁go', '▁shopping']","['▁चलो', '▁खरीदारी', '▁करने', '▁चलें']",False
How long will it take? - इसमें कितना समय लगेगा?,How long will it take? , इसमें कितना समय लगेगा?,"['▁How', '▁long', '▁will', '▁it', '▁take', '?']","['▁इसमें', '▁कितना', '▁समय', '▁लगेगा', '?']",False
Can I sit here? - क्या मैं यहाँ बैठ सकता हूँ?,Can I sit here? , क्या मैं यहाँ बैठ सकता हूँ?,"['▁Can', '▁I', '▁sit', '▁here', '?']","['▁क्या', '▁मैं', '▁यहाँ', '▁बैठ', '▁सकता', '▁हूँ', '?']",False
I need to find a parking spot. - मुझे एक पार्किंग की जगह ढूँढनी है।,I need to find a parking spot. , मुझे एक पार्किंग की जगह ढूँढनी है।,"['▁I', '▁need', '▁to', '▁find', '▁a', '▁parking', '▁spot', '.']","['▁मुझे', '▁एक', '▁पार्किंग', '▁की', '▁जगह', '▁ढूँढनी', '▁है', '।']",False
Hello - नमस्ते,Hello , नमस्ते,['▁Hello'],['▁नमस्ते'],False
What is this called? - इसे क्या कहते हैं?,What is this called? , इसे क्या कहते हैं?,"['▁What', '▁is', '▁this', '▁called', '?']","['▁इसे', '▁क्या', '▁कहते', '▁हैं', '?']",False
Do you have change? - क्या आपके पास छुट्टे हैं?,Do you have change? , क्या आपके पास छुट्टे हैं?,"['▁Do', '▁you', '▁have', '▁change', '?']","['▁क्या', '▁आपके', '▁पास', '▁छुट्टे', '▁हैं', '?']",False
I like this - मुझे यह पसंद है,I like this , मुझे यह पसंद है,"['▁I', '▁like', '▁this']","['▁मुझे', '▁यह', '▁पसंद', '▁है']",False
"Can I have the check, please? - क्या मुझे चेक मिल सकता है?","Can I have the check, please? ", क्या मुझे चेक मिल सकता है?,"['▁Can', '▁I', '▁have', '▁the', '▁check', ',', '▁please', '?']","['▁क्या', '▁मुझे', '▁चेक', '▁मिल', '▁सकता', '▁है', '?']",False
I want to visit the museum. - मुझे म्यूज़ियम जाना है।,I want to visit the museum. , मुझे म्यूज़ियम जाना है।,"['▁I', '▁want', '▁to', '▁visit', '▁the', '▁museum', '.']","['▁मुझे', '▁म्यूज़ियम', '▁जाना', '▁है', '।']",False
I’m trying to learn Spanish. - मैं स्पेनिश सीखने की कोशिश कर रहा हूँ।,I’m trying to learn Spanish. , मैं स्पेनिश सीखने की कोशिश कर रहा हूँ।,"['▁I', '’', 'm', '▁trying', '▁to', '▁learn', '▁Spanish', '.']","['▁मैं', '▁स्पेनिश', '▁सीखने', '▁की', '▁कोशिश', '▁कर', '▁रहा', '▁हूँ', '।']",False
Where is the nearest hospital? - सबसे नज़दीकी अस्पताल कहाँ है?,Where is the nearest hospital? , सबसे नज़दीकी अस्पताल कहाँ है?,"['▁Where', '▁is', '▁the', '▁nearest', '▁hospital', '?']","['▁सबसे', '▁नज़दीकी', '▁अस्पताल', '▁कहाँ', '▁है', '?']",False
This is too spicy - यह बहुत मसालेदार है,This is too spicy , यह बहुत मसालेदार है,"['▁This', '▁is', '▁too', '▁spicy']","['▁यह', '▁बहुत', '▁मसालेदार', '▁है']",False
I want to go to the beach. - मुझे समुद्र तट पर जाना है।,I want to go to the beach. , मुझे समुद्र तट पर जाना है।,"['▁I', '▁want', '▁to', '▁go', '▁to', '▁the', '▁beach', '.']","['▁मुझे', '▁समुद्र', '▁तट', '▁पर', '▁जाना', '▁है', '।']",False
I am 25 years old - मैं 25 साल का हूँ,I am 25 years old , मैं 25 साल का हूँ,"['▁I', '▁am', '▁25', '▁years', '▁old']","['▁मैं', '▁25', '▁साल', '▁का', '▁हूँ']",False
What is your phone number? - आपका फ़ोन नंबर क्या है?,What is your phone number? , आपका फ़ोन नंबर क्या है?,"['▁What', '▁is', '▁your', '▁phone', '▁number', '?']","['▁आपका', '▁फ़ोन', '▁नंबर', '▁क्या', '▁है', '?']",False
I love India - मैं भारत से प्यार करता हूं,I love India , मैं भारत से प्यार करता हूं,"['▁I', '▁love', '▁India']","['▁मैं', '▁भारत', '▁से', '▁प्यार', '▁करता', '▁हूं']",False
I need to exchange money - मुझे पैसे बदलने हैं,I need to exchange money , मुझे पैसे बदलने हैं,"['▁I', '▁need', '▁to', '▁exchange', '▁money']","['▁मुझे', '▁पैसे', '▁बदलने', '▁हैं']",False
I need to buy a phone - मुझे एक फोन खरीदना है,I need to buy a phone , मुझे एक फोन खरीदना है,"['▁I', '▁need', '▁to', '▁buy', '▁a', '▁phone']","['▁मुझे', '▁एक', '▁फोन', '▁खरीदना', '▁है']",False
I need to go to the doctor - मुझे डॉक्टर के पास जाना है,I need to go to the doctor , मुझे डॉक्टर के पास जाना है,"['▁I', '▁need', '▁to', '▁go', '▁to', '▁the', '▁doctor']","['▁मुझे', '▁डॉक्टर', '▁के', '▁पास', '▁जाना', '▁है']",False
I am studying right now - मैं अभी पढ़ाई कर रहा हूँ,I am studying right now , मैं अभी पढ़ाई कर रहा हूँ,"['▁I', '▁am', '▁studying', '▁right', '▁now']","['▁मैं', '▁अभी', '▁पढ़ाई', '▁कर', '▁रहा', '▁हूँ']",False
Can I pay in cash? - क्या मैं नकद में भुगतान कर सकता हूँ?,Can I pay in cash? , क्या मैं नकद में भुगतान कर सकता हूँ?,"['▁Can', '▁I', '▁pay', '▁in', '▁cash', '?']","['▁क्या', '▁मैं', '▁नकद', '▁में', '▁भुगतान', '▁कर', '▁सकता', '▁हूँ', '?']",False
I am not feeling very well. - मुझे ज्यादा अच्छा नहीं लग रहा है।,I am not feeling very well. , मुझे ज्यादा अच्छा नहीं लग रहा है।,"['▁I', '▁am', '▁not', '▁feeling', '▁very', '▁well', '.']","['▁मुझे', '▁ज्यादा', '▁अच्छा', '▁नहीं', '▁लग', '▁रहा', '▁है', '।']",False
I understand - मैं समझ गया,I understand , मैं समझ गया,"['▁I', '▁understand']","['▁मैं', '▁समझ', '▁गया']",False
I am thirsty - मुझे प्यास लगी है,I am thirsty , मुझे प्यास लगी है,"['▁I', '▁am', '▁thirsty']","['▁मुझे', '▁प्यास', '▁लगी', '▁है']",False
Let's take a break - चलो ब्रेक लें,Let's take a break , चलो ब्रेक लें,"['▁Let', ""'"", 's', '▁take', '▁a', '▁break']","['▁चलो', '▁ब्रेक', '▁लें']",False
Please give me a glass of water. - कृपया मुझे एक गिलास पानी दें।,Please give me a glass of water. , कृपया मुझे एक गिलास पानी दें।,"['▁Please', '▁give', '▁me', '▁a', '▁glass', '▁of', '▁water', '.']","['▁कृपया', '▁मुझे', '▁एक', '▁गिलास', '▁पानी', '▁दें', '।']",False
Can you repeat that? - क्या आप फिर से कह सकते हैं?,Can you repeat that? , क्या आप फिर से कह सकते हैं?,"['▁Can', '▁you', '▁repeat', '▁that', '?']","['▁क्या', '▁आप', '▁फिर', '▁से', '▁कह', '▁सकते', '▁हैं', '?']",False
How much is this book? - यह किताब कितने की है?,How much is this book? , यह किताब कितने की है?,"['▁How', '▁much', '▁is', '▁this', '▁book', '?']","['▁यह', '▁किताब', '▁कितने', '▁की', '▁है', '?']",False
It’s very cheap - यह बहुत सस्ता है,It’s very cheap , यह बहुत सस्ता है,"['▁It', '’', 's', '▁very', '▁cheap']","['▁यह', '▁बहुत', '▁सस्ता', '▁है']",False
I need some help - मुझे कुछ मदद चाहिए,I need some help , मुझे कुछ मदद चाहिए,"['▁I', '▁need', '▁some', '▁help']","['▁मुझे', '▁कुछ', '▁मदद', '▁चाहिए']",False
I am sad - मैं दुखी हूं,I am sad , मैं दुखी हूं,"['▁I', '▁am', '▁sad']","['▁मैं', '▁दुखी', '▁हूं']",False
